year2,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,3417903,4153792,66091812,63987631,697749,17.1,526010,12.9,13919514,5858902,8060612,9.2,21.8,9711153,3909657,5801496,6.1,15.2,4208361,6.6,30.4,350748,352967,2224963
1978,3470239,4222683,69670352,67833282,626813,15,548965,13.1,14062357,4556103,9506254,6.7,20.7,10388216,4283093,6105123,6.3,15.3,3674141,5.4,30.6,360442,362456,2123414
1979,3598075,4376325,74016678,71830680,641788,14.9,471892,11,14443176,4998519,9444657,7,20.1,10071179,3639187,6431992,5.1,14,4371997,6.1,28,293251,294890,1667500
1980,3606457,4398753,74749924,74284989,580305,13.2,524356,12,12718175,4567680,8150495,6.1,17.1,11788305,3948087,7840218,5.3,15.9,929870,1.2,31.8,371483,373364,2123575
1981,3566572,4341224,73539034,73601473,577646,13.2,609342,14,12783982,5219017,7564965,7.1,17.4,12908861,5037764,7871097,6.8,17.5,-124879,-0.1,34.8,365741,367682,2132961
1982,3603989,4470714,74482223,73952271,679970,15.4,505221,11.5,13640132,6226777,7413355,8.4,18.4,12580229,4052461,8527768,5.5,17,1059903,1.4,34,289788,290402,1780416
1983,3688193,4556830,72716864,73461522,570715,12.6,514341,11.4,12154727,4725016,7429711,6.4,16.5,13644043,4234634,9409409,5.8,18.6,-1489316,-2.1,33,328482,330449,1962133
1984,3836247,4722769,77386763,75061635,662923,14.3,503719,10.9,14882807,5379201,9503606,7.2,19.8,10232550,3776750,6455800,5,13.6,4650257,6.2,27.2,309350,310909,1754569
1985,3975680,4876912,80896889,79558329,673580,14,530696,11,14585960,5364968,9220992,6.7,18.3,11908842,4697213,7211629,5.9,15,2677118,3.3,30,336927,339182,2200363
1986,4085604,5010299,83467838,82133265,711750,14.4,559089,11.3,15485316,6244185,9241131,7.6,18.9,12816170,4733570,8082600,5.8,15.6,2669146,3.3,31.2,364004,365473,2391112
1987,4179795,5165561,85651975,84919223,783242,15.4,606129,11.9,15926621,6438078,9488543,7.6,18.8,14461116,5763381,8697735,6.8,17,1465505,1.8,34,388807,392680,2692887
1988,4197564,5221222,87414682,85985289,701090,13.5,612370,11.8,16548000,6323957,10224043,7.4,19.2,13689215,5250986,8438229,6.1,15.9,2858785,3.3,31.8,407934,407952,2424211
1989,4211734,5280188,90415808,88981529,678553,12.9,623286,11.9,16575843,6247528,10328315,7,18.6,13707285,5284405,8422880,5.9,15.4,2868558,3.2,30.8,392255,396057,2714617
1990,4309761,5408174,92553399,91418331,704029,13.2,542964,10.2,15644934,5857919,9787015,6.4,17.1,13374798,4591027,8783771,5,14.6,2270136,2.5,29.2,370973,373285,2521699
1991,4362591,5516902,91404878,91956037,692857,12.7,583351,10.7,14609733,5997289,8612444,6.5,15.9,15712050,5161336,10550714,5.6,17.1,-1102317,-1.2,31.8,366873,372081,2738968
1992,4377146,5570945,91685317,91449022,693398,12.5,612746,11,15486476,5736483,9749993,6.3,16.9,15013887,5245245,9768642,5.7,16.4,472589,0.5,32.8,390488,398360,2686178
1993,4449030,5625565,93249402,92442159,645468,11.5,574534,10.3,15308902,5103403,10205499,5.5,16.6,13694416,4673487,9020929,5.1,14.8,1614486,1.8,29.6,378158,382044,2296719
1994,4523211,5722100,94945113,94020236,687528,12.1,572395,10.1,15314223,5582239,9731984,5.9,16.3,13464470,4682961,8781509,5,14.3,1849753,2,28.6,382772,385425,2407342
1995,4613849,5836609,98485465,96656942,712004,12.3,575075,10,16226707,5901571,10325136,6.1,16.8,12569662,4437139,8132523,4.6,13,3657045,3.8,26,386063,389022,2330067
1996,4690476,5931141,100344549,99461177,711716,12.1,603550,10.3,16042500,6063171,9979329,6.1,16.1,14275756,5028708,9247048,5.1,14.4,1766744,1.7,28.8,400585,400679,2457662
1997,4752255,6041547,103184738,101823102,773896,12.9,662683,11.1,18516885,6875677,11641208,6.8,18.2,15793613,5992384,9801229,5.9,15.5,2723272,2.7,31,412678,412684,2684369
1998,4796229,6108324,106272896,104685041,726084,12,643803,10.6,18026978,6649554,11377424,6.4,17.2,14851267,5523170,9328097,5.3,14.2,3175711,3,28.4,421909,421929,2662686
1999,4824483,6173747,109063778,107843370,715449,11.6,643180,10.5,18106990,6813282,11293708,6.3,16.8,15666174,5899787,9766387,5.5,14.5,2440816,2.3,29,416085,416085,2682872
2000,4836580,6218784,112607042,110827535,706296,11.4,662673,10.7,19279279,7060485,12218794,6.4,17.4,15720265,6066116,9654149,5.5,14.2,3559014,3.2,28.4,406134,406147,2593237
2001,4881589,6308530,114009996,113570982,721735,11.5,686426,10.9,18289205,7009758,11279447,6.2,16.1,17411176,6122167,11289009,5.4,15.3,878029,0.8,30.6,403602,403958,2595842
2002,4908710,6352721,111827414,112698028,805318,12.7,751656,11.9,19011086,7988392,11022694,7.1,16.9,20752315,7395270,13357045,6.6,18.4,-1741229,-1.5,33.8,398551,399839,2690183
2003,4963077,6415020,112409111,111364556,769314,12.1,597943,9.4,18139676,6682921,11456755,6,16.3,16050567,5112251,10938316,4.6,14.4,2089109,1.9,28.8,403080,405132,2730376
2004,5039479,6497414,113707629,112599176,760089,11.8,613466,9.5,17635174,6270963,11364211,5.6,15.7,15418269,5345406,10072863,4.7,13.7,2216905,2,27.4,404712,406225,2710417
2005,5139412,6633143,115140082,114077505,801250,12.2,608210,9.3,17697506,6911458,10786048,6.1,15.5,15572352,5090647,10481705,4.5,13.7,2125154,1.8,27.4,415830,417274,2949620
2006,5179788,6736378,118614800,116549473,823391,12.3,661413,9.9,19028732,7193693,11835039,6.2,16.3,14898077,5243772,9654305,4.5,12.8,4130655,3.5,25.6,447256,448758,3094248
2007,5240019,6842829,119627020,118890063,812010,12,690066,10.2,19334538,6980691,12353847,5.9,16.3,17860625,5862512,11998113,4.9,15,1473913,1.3,30,433972,439330,2776517
2008,5200065,6827573,119780684,119292199,713967,10.5,667027,9.8,17333328,6161648,11171680,5.2,14.5,16356357,4958724,11397633,4.2,13.7,976971,0.8,27.4,470550,471501,3018089
2009,5027603,6651272,113333976,116160962,610079,9.1,723459,10.8,13405008,5054656,8350352,4.4,11.5,19058982,5079436,13979546,4.4,16.4,-5653974,-4.9,23,486491,488918,2865305
2010,4953425,6578147,110792625,111733251,610256,9.3,639791,9.7,13646833,5021573,8625260,4.5,12.2,15528084,4489465,11038619,4,13.9,-1881251,-1.7,24.4,416642,418056,2596856
2011,4912258,6553920,112121687,111226092,632158,9.7,613721,9.4,14845428,4829867,10015561,4.3,13.3,13054239,4181223,8873016,3.8,11.7,1791189,1.6,23.4,403838,405635,2432108
2012,4979450,6625111,114761136,113306525,674007,10.2,604078,9.2,16353565,5083852,11269713,4.5,14.4,13444343,4516739,8927604,4,11.9,2909222,2.5,23.8,362398,367049,2227417
2013,5022874,6674357,117194375,115807103,632132,9.5,584912,8.8,15648787,4900188,10748599,4.2,13.5,12874244,4190463,8683781,3.6,11.1,2774543,2.4,22.2,367419,369749,2408512
2014,5058018,6721326,119102910,117753673,669917,10,576942,8.6,15999987,5263991,10735996,4.5,13.6,13301513,4341604,8959909,3.7,11.3,2698474,2.3,22.6,391553,393686,2372489
