year,bea_chain_assets
1925,10.383
1926,10.778
1927,11.145
1928,11.5
1929,11.871
1930,12.091
1931,12.175
1932,12.115
1933,12.019
1934,11.996
1935,12.046
1936,12.228
1937,12.436
1938,12.577
1939,12.792
1940,13.059
1941,13.583
1942,14.456
1943,15.432
1944,16.248
1945,16.604
1946,16.556
1947,16.678
1948,16.948
1949,17.296
1950,17.809
1951,18.49
1952,19.214
1953,20.002
1954,20.743
1955,21.564
1956,22.379
1957,23.173
1958,23.882
1959,24.753
1960,25.607
1961,26.487
1962,27.471
1963,28.53
1964,29.701
1965,30.986
1966,32.351
1967,33.641
1968,34.963
1969,36.284
1970,37.423
1971,38.573
1972,39.885
1973,41.319
1974,42.527
1975,43.441
1976,44.509
1977,45.812
1978,47.366
1979,49.003
1980,50.35
1981,51.663
1982,52.668
1983,53.828
1984,55.435
1985,57.174
1986,58.883
1987,60.535
1988,62.139
1989,63.695
1990,65.161
1991,66.298
1992,67.444
1993,68.783
1994,70.222
1995,71.83
1996,73.699
1997,75.711
1998,77.967
1999,80.411
2000,82.954
2001,85.135
2002,87.068
2003,89.094
2004,91.271
2005,93.423
2006,95.774
2007,97.837
2008,99.366
2009,100
2010,100.665
2011,101.482
2012,102.479
2013,103.627
2014,104.945
2015,106.35
2016,107.69