year,age,total,elem_04,elem_58,high_13,high_4,coll_13,coll_4plus
2017,25-34,44250,218,732,2532,11494,12792,16482
2016,25-34,43763,210,858,2656,11224,12609,16207
2015,25-34,43006,292,863,2938,10965,12420,15528
2014,25-34,42466,286,946,3018,11040,12178,14997
2013,25-34,41797,260,1035,3116,10950,11955,14481
2012,25-34,41219,273,1063,3079,10974,11765,14065
2011,25-34,41584,318,1140,3098,11250,12046,13731
2010,25-34,41085,323,1169,3271,11186,11655,13480
2009,25-34,40520,321,1226,3202,11351,11409,13010
2008,25-34,40146,282,1189,3296,11297,11113,12969
2007,25-34,39868,380,1283,3462,11408,10961,12375
2006,25-34,39481,359,1410,3375,11302,11229,11806
2005,25-34,39310,414,1375,3422,11269,10865,11965
2004,25-34,39201,430,1399,3239,11244,11044,11844
2003,25-34,39242,370,1370,3336,11392,10986,11791
2002,25-34,38670,433,1393,3245,10988,10776,11834
2001,25-34,38865,380,1317,3202,11294,11146,11526
2000,25-34,37786,287,1135,3052,11546,10700,11066
1999,25-34,38474,280,1142,3296,11826,10893,11040
1998,25-34,39354,319,1207,3228,12569,11220,10811
1997,25-34,40256,334,1163,3624,12710,11524,10892
1996,25-34,40919,418,1169,3780,13087,11624,10841
1995,25-34,41388,394,1264,3667,14061,11659,10342
1994,25-34,41946,367,1297,4057,14483,11913,9829
1993,25-34,41864,382,1223,3894,15036,11361,9968
1992,25-34,42493,433,1250,4071,16021,10860,9861
1991,25-34,42905,465,1322,4178,17503,9283,10153
1990,25-34,43240,505,1413,4041,17635,9320,10326
1989,25-34,43240,446,1352,4013,17901,9072,10454
1988,25-34,42953,430,1308,4095,17887,9076,10155
1987,25-34,42635,390,1360,3995,17539,9157,10196
1986,25-34,42053,387,1359,3797,17311,9104,10094
1985,25-34,40858,362,1328,3703,16748,8980,9737
1984,25-34,40173,404,1371,3638,16431,8555,9771
1983,25-34,39342,376,1324,3664,15804,8567,9605
1982,25-34,38703,337,1371,3598,15893,8304,9200
1981,25-34,37828,337,1428,3665,15419,8198,8782
1980,25-34,36615,362,1424,3571,14481,7942,8836
1979,25-34,34053,370,1381,3452,13338,7415,8096
1978,25-34,33120,325,1459,3515,12993,7008,7821
1977,25-34,32284,269,1383,3715,12845,6398,7676
1976,25-34,31148,247,1508,3619,12920,5813,7041
1975,25-34,30092,313,1644,3743,12544,5403,6443
1974,25-34,28972,352,1654,3763,12362,5056,5785
1973,25-34,27793,333,1850,3915,12194,4454,5047
1972,25-34,26517,285,1791,3981,11635,4090,4734
1971,25-34,25545,327,2011,3986,11232,3822,4169
1970,25-34,24865,329,1937,4251,10929,3491,3926
1969,25-34,24072,359,2086,4140,10592,3202,3693
1968,25-34,23285,350,2246,4129,10157,2989,3413
1967,25-34,22388,319,2293,4017,9645,2946,3169
1966,25-34,22023,430,2208,4158,9546,2647,3037
1965,25-34,21980,543,2437,4058,9500,2561,2880
1964,25-34,21997,502,2591,4176,9370,2529,2830
1962,25-34,22130,597,2936,4371,8815,2552,2859
1960,25-34,22821,709,3738,5135,8166,2572,2499
1959,25-34,22922,761,3348,4741,8979,2398,2480
1957,25-34,23437,750,3971,4965,8927,2275,2351
1952,25-34,23138,844,4362,4898,8620,2220,2052
1950,25-34,23626,1147,5308,5050,7660,2198,1252
1947,25-34,22627,1015,5523,4997,7630,1908,1378
1940,25-34,21339,1377,7676,4553,4702,1554,1288
2017,35-54,82072,709,2403,5059,22103,21621,30176
2016,35-54,82571,799,2636,5296,22298,22070,29473
2015,35-54,82715,862,2742,5471,23153,21826,28660
2014,35-54,82687,875,2612,5433,23238,22472,28057
2013,35-54,83324,778,2611,5437,23708,22831,27959
2012,35-54,83883,863,2762,5569,24608,22792,27288
2011,35-54,83796,899,2474,5682,25039,22796,26907
2010,35-54,84834,852,2549,5937,26145,22911,26440
2009,35-54,85688,909,2716,6046,26121,23384,26513
2008,35-54,86067,905,2742,5882,26108,23504,26926
2007,35-54,86224,874,2720,6310,26675,22777,26869
2006,35-54,85918,965,2769,6274,26636,23317,25958
2005,35-54,85311,954,2757,5892,27232,23129,25347
2004,35-54,84642,963,2582,5938,26649,23093,25417
2003,35-54,84308,957,2620,6112,26346,23039,25234
2002,35-54,83829,941,2636,5874,26740,23148,24489
2001,35-54,83286,886,2612,5899,26356,23271,24262
2000,35-54,81435,932,2521,5702,26481,22618,23183
1999,35-54,79976,872,2535,6052,26367,21561,22589
1998,35-54,78520,890,2613,6164,26079,21267,21506
1997,35-54,76973,867,2686,6045,26054,20684,20635
1996,35-54,74661,968,2710,5803,24924,20105,20152
1995,35-54,73028,927,2561,5664,24070,19926,19878
1994,35-54,71049,987,2680,5415,23804,19210,18956
1993,35-54,68845,942,2486,5538,23927,17984,17970
1992,35-54,66594,899,2608,5845,23442,16658,17144
1991,35-54,64351,995,3057,5522,24815,13348,16614
1990,35-54,62499,980,3104,5529,24434,12553,15899
1989,35-54,60494,999,3315,5800,23334,11627,15417
1988,35-54,58555,958,3272,5889,23049,11017,14369
1987,35-54,56650,842,3398,5656,22820,10523,13409
1986,35-54,55170,896,3614,5769,22151,10110,12629
1985,35-54,53697,899,3639,5978,21600,9217,12363
1984,35-54,52297,893,3754,6158,21290,8702,11500
1983,35-54,50956,973,4044,6313,20788,8045,10795
1982,35-54,49722,963,4320,6657,20445,7580,9756
1981,35-54,48680,1038,4531,6773,20032,7115,9181
1980,35-54,48124,1034,4676,7063,19584,6943,8822
1979,35-54,47437,1030,4895,7132,19488,6655,8237
1978,35-54,46921,1107,5262,7590,19012,6286,7667
1977,35-54,46409,1192,5445,7781,18781,6013,7196
1976,35-54,46271,1245,5729,7671,18893,5957,6776
1975,35-54,46193,1296,5942,7765,19010,5673,6506
1974,35-54,46217,1293,6244,7896,19038,5375,6372
1973,35-54,45910,1344,6519,8001,18651,5318,6076
1972,35-54,45956,1367,7004,8521,18400,5074,5589
1971,35-54,46294,1439,7588,8393,18334,5082,5460
1970,35-54,46319,1461,7935,8555,18200,4875,5294
1969,35-54,46255,1644,8313,8586,17773,4749,5190
1968,35-54,46396,1654,8698,8838,17362,4642,5200
1967,35-54,46321,1771,9036,9138,16906,4525,4947
1966,35-54,46313,1837,9528,9309,16605,4230,4805
1965,35-54,46296,1827,9812,9266,16359,4384,4647
1964,35-54,46089,1905,10259,9289,15760,4397,4482
1962,35-54,45287,2181,10795,8938,14668,4452,4253
1960,35-54,44742,2424,12536,9502,12517,4123,3639
1959,35-54,43989,2303,11657,8719,13244,3715,3709
1957,35-54,42645,2658,12349,8384,12041,3248,3360
1952,35-54,39014,2606,13274,7348,9374,3148,2802
1950,35-54,38432,3404,14420,6976,7262,2878,2516
1947,35-54,36717,3203,15184,6311,6715,2622,2221
1940,35-54,33845,4549,16270,4972,4217,1836,1540
2017,55plus,90599,1280,3465,6143,28916,23351,27444
2016,55plus,88682,1406,3584,6009,28481,22981,26221
2015,55plus,86411,1447,3690,6276,28457,21785,24756
2014,55plus,84134,1365,3829,6094,27962,21059,23825
2013,55plus,81778,1306,3931,6043,27046,20387,23066
2012,55plus,79478,1348,3974,6344,26531,19343,21937
2011,55plus,76163,1372,4073,5983,25622,18408,20705
2010,55plus,74008,1440,4118,6051,25125,17354,19920
2009,55plus,72077,1555,4101,6338,24154,16877,19051
2008,55plus,70092,1411,4294,6338,23779,16378,17892
2007,55plus,68226,1576,4458,6680,23408,15505,16599
2006,55plus,66485,1628,4610,6508,22961,14824,15956
2005,55plus,64745,1614,4803,6784,22392,14083,15069
2004,55plus,63034,1465,4907,6821,21918,13434,14488
2003,55plus,61633,1589,5372,6876,21554,12884,13358
2002,55plus,59644,1528,5639,7258,20728,12117,12374
2001,55plus,58238,1544,5589,7178,20622,11864,11440
2000,55plus,56008,1524,5780,6921,20059,11126,10598
1999,55plus,55303,1589,5978,7096,19742,10722,10174
1998,55plus,54337,1624,6126,7385,19526,10022,9654
1997,55plus,53352,1628,6622,7543,18823,9565,9169
1996,55plus,52742,1642,6716,7520,18549,9642,8677
1995,55plus,52022,1755,7048,7232,18320,9662,8005
1994,55plus,51516,1802,7382,7454,18228,8890,7761
1993,55plus,52117,2058,8038,7637,18626,8106,7652
1992,55plus,51740,2118,8133,7756,18397,8005,7332
1991,55plus,51439,2341,8668,7675,18954,6540,7258
1990,55plus,50798,2349,9239,7893,18050,6202,7064
1989,55plus,50421,2412,9395,7907,18102,5914,6693
1988,55plus,50128,2325,9969,7860,18004,5705,6263
1987,55plus,49858,2408,10544,7766,17310,5799,6033
1986,55plus,49383,2611,10699,7917,16876,5515,5767
1985,55plus,48969,2612,11052,7872,16516,5208,5708
1984,55plus,48324,2584,11131,7636,16353,5026,5593
1983,55plus,47723,2769,11348,7703,15470,4915,5514
1982,55plus,47102,2818,11541,7751,15091,4807,5095
1981,55plus,46391,2983,11909,7600,14464,4721,4711
1980,55plus,45670,2994,12326,7451,13869,4494,4535
1979,55plus,43806,2924,12230,6999,13088,4321,4245
1978,55plus,42977,3013,12593,7069,12376,4086,3843
1977,55plus,42176,3047,12740,6823,11977,3835,3754
1976,55plus,41429,3107,12674,6915,11346,3709,3677
1975,55plus,40613,3303,13045,6730,10798,3442,3295
1974,55plus,39817,3461,13302,6615,10060,3233,3145
1973,55plus,39163,3424,13467,6504,9604,3060,3105
1972,55plus,38659,3471,13706,6351,9136,2952,3042
1971,55plus,38787,3808,14430,6225,8463,2878,2982
1970,55plus,38126,3957,14647,5877,8005,2797,2843
1969,55plus,37424,4012,14576,5801,7768,2615,2653
1968,55plus,36789,4244,14522,5760,7085,2624,2558
1967,55plus,36155,4310,14849,5495,6622,2443,2434
1966,55plus,35540,4438,14742,5392,6240,2358,2370
1965,55plus,34969,4612,14814,5293,5844,2194,2215
1964,55plus,34335,4888,14701,4954,5598,2159,2033
1962,55plus,33247,5048,14707,4442,4994,2166,1890
1960,55plus,31902,5169,14944,4503,3757,2051,1479
1959,55plus,30567,4752,13485,4060,3996,1775,1545
1957,55plus,29548,5153,12996,3602,3864,1462,1461
1952,55plus,26206,4554,12638,2982,3080,1346,1264
1950,55plus,25427,4940,11947,2791,2704,1170,1005
1947,55plus,23234,4393,11601,2179,2581,1003,825
1940,55plus,19592,4178,10467,1656,1633,685,579